iter	Passed	Remaining
411	3848	5492
412	3856	5481
413	3864	5470
414	3873	5460
415	3882	5450
416	3892	5442
417	3900	5430
418	3907	5418
419	3917	5409
420	3931	5406
421	3943	5400
422	3952	5391
423	3961	5381
424	3972	5375
425	3980	5363
426	3988	5351
427	3998	5343
428	4009	5336
429	4020	5328
430	4028	5317
431	4038	5309
432	4048	5301
433	4057	5292
434	4067	5283
435	4076	5272
436	4085	5264
437	4095	5254
438	4105	5246
439	4114	5236
440	4122	5225
441	4129	5213
442	4138	5203
443	4148	5195
444	4158	5186
445	4167	5176
446	4177	5168
447	4185	5157
448	4195	5148
449	4204	5138
450	4212	5127
451	4221	5117
452	4228	5106
453	4236	5095
454	4243	5082
455	4254	5076
456	4269	5072
457	4279	5063
458	4285	5051
459	4295	5042
460	4303	5031
461	4314	5024
462	4325	5017
463	4334	5007
464	4344	4998
465	4354	4989
466	4363	4980
467	4373	4971
468	4382	4961
469	4391	4952
470	4401	4943
471	4411	4934
472	4420	4925
473	4429	4915
474	4439	4906
475	4448	4897
476	4457	4887
477	4469	4881
478	4478	4871
479	4487	4861
480	4497	4852
481	4507	4844
482	4517	4835
483	4524	4823
484	4533	4813
485	4542	4803
486	4550	4793
487	4559	4784
488	4568	4773
489	4578	4764
490	4587	4755
491	4596	4745
492	4605	4735
493	4615	4727
494	4625	4719
495	4634	4709
496	4642	4698
497	4651	4689
498	4661	4680
499	4671	4671
500	4683	4664
501	4691	4654
502	4700	4644
503	4710	4635
504	4720	4626
505	4729	4617
506	4736	4605
507	4745	4596
508	4755	4587
509	4765	4578
510	4775	4569
511	4782	4558
512	4792	4549
513	4801	4539
514	4809	4529
515	4818	4519
516	4828	4511
517	4839	4503
518	4850	4495
519	4860	4486
520	4869	4476
521	4879	4468
522	4887	4457
523	4897	4449
524	4907	4439
525	4915	4429
526	4926	4421
527	4935	4412
528	4945	4403
529	4954	4393
530	4964	4384
531	4973	4375
532	4984	4367
533	4992	4357
534	5004	4349
535	5014	4340
536	5024	4331
537	5033	4322
538	5042	4312
539	5051	4302
540	5061	4294
541	5073	4287
542	5082	4277
543	5090	4266
544	5099	4257
545	5109	4248
546	5117	4238
547	5126	4228
548	5136	4219
549	5144	4209
550	5152	4198
551	5161	4188
552	5170	4179
553	5182	4171
554	5191	4162
555	5200	4152
556	5209	4143
557	5218	4133
558	5227	4124
559	5236	4114
560	5245	4104
561	5254	4095
562	5266	4087
563	5274	4077
564	5283	4068
565	5291	4057
566	5301	4048
567	5310	4039
568	5319	4029
569	5327	4019
570	5339	4012
571	5347	4001
572	5355	3990
573	5364	3981
574	5373	3971
575	5381	3961
576	5388	3950
577	5397	3940
578	5404	3929
579	5413	3920
580	5423	3911
581	5433	3902
582	5443	3893
583	5453	3884
584	5463	3875
585	5477	3869
586	5488	3861
587	5498	3852
588	5506	3842
589	5515	3832
590	5527	3825
591	5536	3815
592	5546	3806
593	5558	3799
594	5566	3789
595	5574	3778
596	5582	3768
597	5593	3760
598	5601	3750
599	5610	3740
600	5619	3731
601	5627	3720
602	5636	3711
603	5647	3702
604	5656	3692
605	5666	3683
606	5674	3674
607	5683	3664
608	5691	3654
609	5701	3645
610	5710	3635
611	5718	3625
612	5725	3614
613	5735	3605
614	5746	3597
615	5757	3588
616	5767	3579
617	5775	3570
618	5783	3559
619	5792	3550
620	5802	3541
621	5813	3533
622	5822	3523
623	5835	3516
624	5846	3507
625	5857	3499
626	5866	3490
627	5875	3480
628	5884	3470
629	5892	3460
630	5902	3451
631	5912	3442
632	5921	3433
633	5930	3423
634	5940	3414
635	5949	3405
636	5959	3396
637	5969	3386
638	5977	3376
639	5985	3367
640	6013	3368
641	6022	3358
642	6031	3348
643	6041	3339
644	6050	3330
645	6059	3320
646	6069	3311
647	6083	3304
648	6095	3296
649	6104	3287
650	6114	3277
651	6123	3268
652	6133	3259
653	6142	3249
654	6150	3239
655	6160	3230
656	6171	3221
657	6181	3212
658	6191	3203
659	6200	3194
660	6208	3184
661	6217	3174
662	6224	3163
663	6234	3154
664	6242	3144
665	6254	3136
666	6262	3126
667	6271	3117
668	6282	3108
669	6289	3097
670	6298	3088
671	6307	3078
672	6316	3068
673	6324	3059
674	6333	3049
675	6343	3040
676	6352	3030
677	6360	3020
678	6370	3011
679	6377	3001
680	6386	2991
681	6396	2982
682	6405	2973
683	6414	2963
684	6423	2953
685	6430	2943
686	6439	2933
687	6449	2924
688	6458	2915
689	6467	2905
690	6478	2897
691	6489	2888
692	6498	2878
693	6507	2869
694	6515	2859
695	6525	2850
696	6535	2841
697	6545	2832
698	6555	2822
699	6563	2813
700	6582	2807
701	6590	2797
702	6600	2788
703	6609	2778
704	6618	2769
705	6627	2759
706	6637	2750
707	6646	2741
708	6657	2732
709	6664	2722
710	6672	2712
711	6681	2702
712	6688	2692
713	6697	2682
714	6706	2673
715	6714	2663
716	6723	2653
717	6733	2644
718	6745	2636
719	6754	2626
720	6763	2617
721	6773	2608
722	6782	2598
723	6790	2588
724	6800	2579
725	6810	2570
726	6821	2561
727	6829	2551
728	6838	2542
729	6847	2532
730	6856	2523
731	6866	2513
732	6874	2503
733	6885	2495
734	6896	2486
735	6905	2476
736	6914	2467
737	6923	2457
738	6933	2448
739	6944	2439
740	6952	2429
741	6960	2420
742	6968	2410
743	6976	2400
744	6990	2392
745	6999	2383
746	7009	2373
747	7017	2364
748	7026	2354
749	7035	2345
750	7044	2335
751	7054	2326
752	7065	2317
753	7073	2307
754	7083	2298
755	7092	2289
756	7102	2279
757	7111	2270
758	7118	2260
759	7127	2250
760	7135	2241
761	7145	2231
762	7155	2222
763	7169	2214
764	7178	2205
765	7187	2195
766	7195	2185
767	7204	2176
768	7211	2166
769	7221	2156
770	7228	2147
771	7236	2137
772	7245	2127
773	7254	2118
774	7263	2108
775	7274	2099
776	7283	2090
777	7292	2080
778	7302	2071
779	7311	2062
780	7321	2053
781	7331	2043
782	7341	2034
783	7349	2024
784	7357	2015
785	7368	2006
786	7379	1997
787	7388	1987
788	7401	1979
789	7410	1969
790	7418	1960
791	7429	1951
792	7437	1941
793	7445	1931
794	7454	1922
795	7465	1913
796	7474	1903
797	7483	1894
798	7493	1885
799	7501	1875
800	7511	1866
801	7521	1856
802	7529	1847
803	7538	1837
804	7548	1828
805	7556	1818
806	7566	1809
807	7574	1799
808	7584	1790
809	7594	1781
810	7603	1772
811	7611	1762
812	7619	1752
813	7628	1743
814	7638	1733
815	7649	1724
816	7658	1715
817	7667	1705
818	7676	1696
819	7685	1687
820	7694	1677
821	7701	1667
822	7711	1658
823	7722	1649
824	7732	1640
825	7740	1630
826	7749	1621
827	7758	1611
828	7768	1602
829	7779	1593
830	7791	1584
831	7798	1574
832	7806	1565
833	7814	1555
834	7823	1545
835	7831	1536
836	7840	1526
837	7849	1517
838	7861	1508
839	7870	1499
840	7879	1489
841	7887	1479
842	7897	1470
843	7908	1461
844	7918	1452
845	7928	1443
846	7937	1433
847	7947	1424
848	7957	1415
849	7967	1405
850	7980	1397
851	7988	1387
852	7998	1378
853	8010	1369
854	8018	1359
855	8026	1350
856	8033	1340
857	8041	1330
858	8051	1321
859	8060	1312
860	8069	1302
861	8079	1293
862	8087	1283
863	8097	1274
864	8107	1265
865	8114	1255
866	8121	1245
867	8129	1236
868	8137	1226
869	8147	1217
870	8156	1208
871	8165	1198
872	8173	1189
873	8182	1179
874	8192	1170
875	8199	1160
876	8208	1151
877	8217	1141
878	8224	1132
879	8233	1122
880	8241	1113
881	8252	1104
882	8260	1094
883	8268	1085
884	8277	1075
885	8287	1066
886	8299	1057
887	8307	1047
888	8317	1038
889	8324	1028
890	8331	1019
891	8342	1010
892	8352	1000
893	8362	991
894	8370	982
895	8381	972
896	8391	963
897	8402	954
898	8412	945
899	8422	935
900	8430	926
901	8441	917
902	8450	907
903	8459	898
904	8469	889
905	8477	879
906	8488	870
907	8497	861
908	8507	851
909	8515	842
910	8524	832
911	8533	823
912	8542	814
913	8554	804
914	8565	795
915	8575	786
916	8586	777
917	8595	767
918	8603	758
919	8611	748
920	8621	739
921	8631	730
922	8640	720
923	8649	711
924	8659	702
925	8667	692
926	8677	683
927	8687	674
928	8696	664
929	8705	655
930	8714	645
931	8727	636
932	8734	627
933	8745	617
934	8755	608
935	8763	599
936	8772	589
937	8784	580
938	8795	571
939	8803	561
940	8812	552
941	8821	543
942	8830	533
943	8840	524
944	8849	515
945	8858	505
946	8868	496
947	8877	486
948	8887	477
949	8895	468
950	8905	458
951	8913	449
952	8923	440
953	8933	430
954	8942	421
955	8950	411
956	8959	402
957	8969	393
958	8979	383
959	8989	374
960	8998	365
961	9008	355
962	9070	348
963	9080	339
964	9091	329
965	9100	320
966	9108	310
967	9117	301
968	9125	291
969	9133	282
970	9142	273
971	9151	263
972	9160	254
973	9170	244
974	9182	235
975	9191	226
976	9200	216
977	9210	207
978	9219	197
979	9227	188
980	9237	178
981	9248	169
982	9256	160
983	9266	150
984	9274	141
985	9283	131
986	9293	122
987	9302	112
988	9311	103
