iter	Logloss
0	0.6769610124
1	0.6646068315
2	0.6526102046
3	0.6379042352
4	0.6247203194
5	0.6123768721
6	0.6012181196
7	0.5923198378
8	0.5846805398
9	0.5758134518
10	0.5692129533
11	0.5613208831
12	0.5551295227
13	0.5502357713
14	0.5421901896
15	0.5336775767
16	0.5259897524
17	0.520359943
18	0.5132720356
19	0.5075886641
20	0.5012707012
21	0.4954812974
22	0.4895923514
23	0.4856590382
24	0.4809517011
25	0.477105009
26	0.4732455494
27	0.4693345922
28	0.4651788532
29	0.4602296943
30	0.4554582377
31	0.4503568704
32	0.4459601954
33	0.4419193372
34	0.4379459402
35	0.4339871166
36	0.4308015928
37	0.4292721723
38	0.4262038938
39	0.4235931444
40	0.4203528218
41	0.4174224238
42	0.4142937038
43	0.4125059574
44	0.4091778398
45	0.4055484246
46	0.4024083807
47	0.3995329623
48	0.3964342888
49	0.3933266852
50	0.3908692459
51	0.3885639269
52	0.3867476596
53	0.3839973186
54	0.3833143546
55	0.3817979678
56	0.3795464429
57	0.3775364076
58	0.3750096783
59	0.3728673429
60	0.3711343817
61	0.3692811002
62	0.3678590162
63	0.3663544233
64	0.3647017369
65	0.3632914462
66	0.3618015793
67	0.3603586099
68	0.3588585343
69	0.3577409998
70	0.3566990857
71	0.3556283841
72	0.3543607723
73	0.3533240152
74	0.3524121763
75	0.3509552565
76	0.3499175423
77	0.3489067788
78	0.3479252045
79	0.3469485944
80	0.3461798248
81	0.3454303528
82	0.3443955274
83	0.3436112709
84	0.3430416252
85	0.342308648
86	0.3413391969
87	0.340524653
88	0.339425842
89	0.3386357772
90	0.337817068
91	0.3370883059
92	0.3362720204
93	0.335618073
94	0.3350050492
95	0.3342895273
96	0.3336178754
97	0.3329985761
98	0.3324737158
99	0.331836615
100	0.331499429
101	0.3310384052
102	0.3304740124
103	0.3297353968
104	0.3291807523
105	0.3287364998
106	0.3281373405
107	0.3274090311
108	0.3268597988
109	0.3265577675
110	0.3259385768
111	0.325364153
112	0.3251812719
113	0.3247212602
114	0.3244530079
115	0.3241025923
116	0.3233820234
117	0.3228621475
118	0.3227970566
119	0.3222573091
120	0.3217999164
121	0.321459526
122	0.3210394177
123	0.3204729522
124	0.320230137
125	0.3197168796
126	0.3192373358
127	0.3189657804
128	0.3186141513
129	0.3180152832
130	0.3172842466
131	0.3167916287
132	0.3164257018
133	0.3160032143
134	0.3156789041
135	0.3151634663
136	0.3148123694
137	0.3144556155
138	0.3141044375
139	0.3137454986
140	0.3133533156
141	0.3132241567
142	0.3128153758
143	0.3126732972
144	0.3122147904
145	0.3119561033
146	0.3116712895
147	0.3114062419
148	0.3109931077
149	0.31075611
150	0.310576544
151	0.3103259227
152	0.3100683269
153	0.3098265646
154	0.3096136262
155	0.3092363261
156	0.3089730122
157	0.3086781579
158	0.3083370457
159	0.3079973258
160	0.3076869953
161	0.3075280324
162	0.3072004904
163	0.3069340843
164	0.3065222309
165	0.3062932735
166	0.3057891508
167	0.3055950741
168	0.3055825431
169	0.3054164604
170	0.3051360496
171	0.3049338361
172	0.3047226906
173	0.3044875403
174	0.3042066803
175	0.3040180753
176	0.3037841292
177	0.3035856374
178	0.3033759724
179	0.3031371851
180	0.3029801273
181	0.3028839185
182	0.3026444078
183	0.3024333576
184	0.3021575903
185	0.3018282512
186	0.3016898491
187	0.3015187081
188	0.3014010933
189	0.3011614818
190	0.3008064671
191	0.3006234027
192	0.3005451136
193	0.3005450736
194	0.3002607541
195	0.3000515287
196	0.2999141441
197	0.2996766022
198	0.299336182
199	0.2990819749
200	0.2989460305
201	0.2987453515
202	0.2985063857
203	0.2982769413
204	0.2981030683
205	0.2978364254
206	0.2976502009
207	0.2975361501
208	0.2973217016
209	0.2972277967
210	0.2970710262
211	0.2970182688
212	0.2968277101
213	0.2965443514
214	0.2964332971
215	0.2962552179
216	0.2960481848
217	0.2958432308
218	0.2957093622
219	0.2954470106
220	0.2953696777
221	0.2952098228
222	0.2950720345
223	0.2949040958
224	0.2947880615
225	0.2944334458
226	0.2943514423
227	0.2942950322
228	0.2941477509
229	0.2940377661
230	0.2938737334
231	0.2937737102
232	0.2936477982
233	0.2935765717
234	0.2934484414
235	0.2932396579
236	0.2930434831
237	0.2928469433
238	0.2928145967
239	0.2925957906
240	0.2925957848
241	0.292595779
242	0.2924209021
243	0.2923312208
244	0.292194758
245	0.2920140044
246	0.2918068177
247	0.2916079098
248	0.2915050442
249	0.2913727737
250	0.2912581583
251	0.2909935223
252	0.2909548815
253	0.2907748192
254	0.2905841134
255	0.2905026819
256	0.2904154366
257	0.2903503919
258	0.289974954
259	0.2897845321
260	0.2897155046
261	0.2895013557
262	0.2894433355
263	0.2893185443
264	0.2891323411
265	0.2890816504
266	0.2889036858
267	0.2886744698
268	0.2883489781
