artist,group,song,type,performance,year,recording,link,date_uploaded,date_accessed,transcription
kingfish,10_AA,she_calls_me_kingfish,original,studio,2021,662,https://www.youtube.com/watch?v=rvDSX6oKaNg,2023-05-02,2023-12-11,done
kirkfletcher,10_AA,aint_no_way,cover,live,2019,live_at_long_beach,https://www.youtube.com/watch?v=o6yc_Xh3yXc,2020-01-03,2023-12-08,
kirkfletcher,10_AA,congo_square,cover,live,2019,live_at_long_beach,https://www.youtube.com/watch?v=iVf829TPTqU,2020-01-03,2023-12-08,
kirkfletcher,10_AA,found_love,cover,live,2014,live_at_the_baked_potato,https://www.youtube.com/watch?v=VaaxLG-2omM,2020-05-29,2023-12-08,
kirkfletcher,10_AA,gotta_right,original,live,2019,live_at_long_beach,https://www.youtube.com/watch?v=AjGa1ghz9x8,2020-01-02,2023-12-08,
kirkfletcher,10_AA,the_answer,original,live,2019,live_at_long_beach,https://www.youtube.com/watch?v=EQxa3g5rTCg,2020-01-03,2023-12-08,
kirkfletcher,10_AA,two_steps_forward,original,live,2019,live_at_long_beach,https://www.youtube.com/watch?v=wHxYnfu8A1M,2020-01-03,2023-12-08,
kirkfletcher,10_AA,aint_no_way,cover,studio,2015,my_turn,https://www.youtube.com/watch?v=xYhLn5T675Q,2015-01-20,2023-12-08,done
kirkfletcher,10_AA,congo_square,cover,studio,2015,my_turn,https://www.youtube.com/watch?v=rVgWKacpy_Y,2015-01-20,2023-12-08,done
kirkfletcher,10_AA,found_love,cover,studio,2015,my_turn,https://www.youtube.com/watch?v=A3Hz6-yODLE,2015-01-20,2023-12-08,done
kirkfletcher,10_AA,gotta_right,original,studio,2018,hold_on,https://www.youtube.com/watch?v=h_XjxE5X3xQ,2019-11-17,2023-12-08,done
kirkfletcher,10_AA,the_answer,original,studio,2018,hold_on,https://www.youtube.com/watch?v=ga0nuMJm-Ns,2018-10-22,2023-12-08,done
kirkfletcher,10_AA,two_steps_forward,original,studio,2018,hold_on,https://www.youtube.com/watch?v=jRM3M533xUU,2018-09-27,2023-12-08,done
shemekiacopeland,10_AA,cant_let_go,cover,live,2013,live_at_the_narrows_center_for_arts,https://www.youtube.com/watch?v=YT-WjzYKf_4,2013-10-06,2023-12-11,
shemekiacopeland,10_AA,has_anybody_seen_my_man,cover,live,2015,live_at_the_narrows_center_for_arts,https://www.youtube.com/watch?v=7-8LNoTEeqQ,2015-09-15,2023-12-11,
shemekiacopeland,10_AA,i_feel_a_sin_coming_on,cover,live,2015,live_at_fall_river,https://www.youtube.com/watch?v=HBuuJqzH9-g,2015-09-14,2023-12-11,
shemekiacopeland,10_AA,ghetto_child,original,live,2017,live_at_rawa_blues_festival,https://www.youtube.com/watch?v=gAedo8fciWY,2016-12-01,2023-12-11,
shemekiacopeland,10_AA,married_to_the_blues,original,live,2017,live_at_rawa_blues_festival,https://www.youtube.com/watch?v=_QeNxdCGUwo,2016-11-30,2023-12-11,
shemekiacopeland,10_AA,salt_in_my_wounds,original,live,2011,live_at_pennsylvania_blues_festival,https://www.youtube.com/watch?v=dsSx3xtbD0E,2011-08-05,2023-12-11,
shemekiacopeland,10_AA,cant_let_go,cover,studio,2012,33 1/3,https://www.youtube.com/watch?v=Pa3pB7bdXb8,2018-07-26,2023-12-11,done
shemekiacopeland,10_AA,has_anybody_seen_my_man,cover,studio,1998,turn_the_heat_up,https://www.youtube.com/watch?v=FiKZ_Aav23A,2023-05-02,2023-12-11,done
shemekiacopeland,10_AA,i_feel_a_sin_coming_on,cover,studio,2015,outskirts_of_love,https://www.youtube.com/watch?v=UHqMli0LUls,2023-05-02,2023-12-11,done
shemekiacopeland,10_AA,ghetto_child,original,studio,2011,deluxe_edition,https://www.youtube.com/watch?v=wFuz5GVwWOc,2023-05-02,2023-12-11,done
shemekiacopeland,10_AA,married_to_the_blues,original,studio,1998,turn_the_heat_up,https://www.youtube.com/watch?v=a_-zHLC688U,2023-05-02,2023-12-11,done
shemekiacopeland,10_AA,salt_in_my_wounds,original,studio,2011,deluxe_edition,https://www.youtube.com/watch?v=uf9GqPjE8yQ,2023-05-02,2023-12-11,done
daniwilde,10_nonAA_nonUS,dont_quit_me_baby,cover,live,2017,live_at_the_laboratorium,https://www.youtube.com/watch?v=F083iGgxcUM,2017-04-09,2023-12-15,
daniwilde,10_nonAA_nonUS,in_the_mood,cover,live,2019,live_at_brasserie_wenzel,https://www.youtube.com/watch?v=7MNoBXK409o,2019-11-15,2023-12-15,
daniwilde,10_nonAA_nonUS,little_by_little,cover,live,2009,live_at_village_habach,https://www.youtube.com/watch?v=TRdSR2uTVoY,2009-06-06,2023-12-15,
daniwilde,10_nonAA_nonUS,bring_your_love_home,original,live,2008,live_at_the_harmonie,https://www.youtube.com/watch?v=DVKTmSwfyfg,2023-12-03,2023-12-15,
daniwilde,10_nonAA_nonUS,come_undone,original,live,2008,live_at_the_blues_caravan,https://www.youtube.com/watch?v=pAebvt-liUs,2014-11-08,2023-12-15,
daniwilde,10_nonAA_nonUS,heal_my_blues,original,live,2008,live_at_the_blues_caravan,https://www.youtube.com/watch?v=KihEUxe0BLw,2015-08-28,2023-12-15,
daniwilde,10_nonAA_nonUS,dont_quit_me_baby,cover,studio,2017,session_at_brighton_road,https://www.youtube.com/watch?v=MGvPZF5xPli,2017-06-16,2023-12-15,done
daniwilde,10_nonAA_nonUS,in_the_mood,cover,studio,2008,heal_my_blues,https://www.youtube.com/watch?v=xnVyuSiAQiA,2014-11-06,2023-12-15,done
daniwilde,10_nonAA_nonUS,little_by_little,cover,studio,2008,heal_my_blues,https://www.youtube.com/watch?v=qAKcDHvGSTM,2014-11-08,2023-12-15,done
daniwilde,10_nonAA_nonUS,bring_your_love_home,original,studio,2008,heal_my_blues,https://www.youtube.com/watch?v=kieiddjtJvQ,2016-02-09,2023-12-15,done
daniwilde,10_nonAA_nonUS,come_undone,original,studio,2008,heal_my_blues,https://www.youtube.com/watch?v=D7BVClpP5D8,2014-11-09,2023-12-15,done
daniwilde,10_nonAA_nonUS,heal_my_blues,original,studio,2008,heal_my_blues,https://www.youtube.com/watch?v=i5tiFFMrqvg,2014-11-08,2023-12-15,done
danpatlansky,10_nonAA_nonUS,bright_lights_big_city,cover,live,2017,live_at_hrh_blues,https://www.youtube.com/watch?v=-ejSFUfKJjQ,2017-04-17,2023-12-15,
danpatlansky,10_nonAA_nonUS,preachin_blues,cover,live,2014,live_at_bluesmoose_radio,https://www.youtube.com/watch?v=UCgqEr0nvqA,2014-11-01,2023-12-15,
danpatlansky,10_nonAA_nonUS,you_upset_me_baby,cover,live,2017,live_at_a38_rocks,https://www.youtube.com/watch?v=KG6gRnMHt2Y,2018-01-23,2023-12-15,
danpatlansky,10_nonAA_nonUS,big_things_going_down,original,live,2014,live_at_bluesmoose_radio,https://www.youtube.com/watch?v=AJEX-ei2-SU,2014-11-01,2023-12-15,
danpatlansky,10_nonAA_nonUS,insufficient_man,original,live,2009,live_at_catalina_theatre,https://www.youtube.com/watch?v=EwgS8mybv18,2010-05-30,2023-12-15,
danpatlansky,10_nonAA_nonUS,snake_oil_city,original,live,2022,live_at_bluesmoose_radio,https://www.youtube.com/watch?v=3Ywk5qqXmbw,2022-04-21,2023-12-15,
danpatlansky,10_nonAA_nonUS,bright_lights_big_city,cover,studio,2013,wooden_thoughts,https://www.youtube.com/watch?v=QMhzL-Fp3MM,2018-07-20,2023-12-15,done
danpatlansky,10_nonAA_nonUS,preachin_blues,cover,studio,2013,wooden_thoughts,https://www.youtube.com/watch?v=8KpNyg0oL1M,2018-07-20,2023-12-15,done
danpatlansky,10_nonAA_nonUS,you_upset_me_baby,cover,studio,2009,move_my_soul,https://www.youtube.com/watch?v=1n8PrQVTO8M,2018-08-15,2023-12-15,done
danpatlansky,10_nonAA_nonUS,big_things_going_down,original,studio,2009,move_my_soul,https://www.youtube.com/watch?v=CQCoyXC0CdA,2018-08-15,2023-12-15,done
danpatlansky,10_nonAA_nonUS,insufficient_man,original,studio,2009,move_my_soul,https://www.youtube.com/watch?v=JtFh2GY7sbw,2018-08-15,2023-12-15,done
danpatlansky,10_nonAA_nonUS,snake_oil_city,original,studio,2021,shelter_of_bones,https://www.youtube.com/watch?v=Q66V5li-xNk,2022-02-24,2023-12-15,done
davyknowles,10_nonAA_nonUS,aint_no_grave,cover,live,2020,live_at_rams_head,https://www.youtube.com/watch?v=p0Z1niU2eco,2020-01-31,2023-12-15,
