iter	Passed	Remaining
413	3585	5075
414	3594	5066
415	3603	5059
416	3613	5052
417	3622	5043
418	3630	5034
419	3638	5025
420	3647	5016
421	3656	5008
422	3664	4998
423	3672	4989
424	3682	4982
425	3691	4973
426	3700	4966
427	3709	4957
428	3717	4948
429	3726	4940
430	3734	4930
431	3744	4923
432	3753	4915
433	3762	4906
434	3772	4899
435	3782	4892
436	3790	4883
437	3799	4874
438	3807	4865
439	3816	4857
440	3825	4848
441	3832	4838
442	3841	4830
443	3852	4824
444	3861	4815
445	3870	4807
446	3879	4798
447	3888	4790
448	3897	4783
449	3906	4774
450	3914	4765
451	3925	4759
452	3936	4753
453	3944	4743
454	3952	4734
455	3961	4725
456	3970	4718
457	3980	4710
458	3989	4702
459	3997	4693
460	4006	4684
461	4015	4675
462	4023	4667
463	4032	4657
464	4040	4649
465	4049	4640
466	4060	4634
467	4068	4624
468	4071	4609
469	4079	4600
470	4088	4591
471	4095	4581
472	4104	4572
473	4116	4567
474	4123	4557
475	4132	4548
476	4140	4539
477	4149	4531
478	4157	4522
479	4167	4514
480	4176	4506
481	4186	4499
482	4195	4491
483	4204	4482
484	4213	4474
485	4223	4466
486	4232	4458
487	4241	4449
488	4249	4440
489	4258	4432
490	4267	4423
491	4276	4415
492	4285	4407
493	4293	4397
494	4301	4388
495	4310	4379
496	4319	4371
497	4327	4362
498	4337	4355
499	4345	4345
500	4353	4336
501	4361	4327
502	4369	4317
503	4377	4308
504	4386	4299
505	4395	4291
506	4404	4283
507	4413	4274
508	4421	4265
509	4430	4257
510	4440	4249
511	4450	4241
512	4458	4232
513	4467	4223
514	4476	4215
515	4484	4206
516	4491	4196
517	4500	4188
518	4511	4180
519	4519	4171
520	4529	4163
521	4538	4156
522	4546	4147
523	4555	4138
524	4564	4129
525	4573	4121
526	4581	4112
527	4589	4103
528	4597	4093
529	4605	4083
530	4614	4075
531	4623	4067
532	4631	4057
533	4638	4047
534	4646	4038
535	4655	4029
536	4664	4021
537	4672	4012
538	4681	4004
539	4690	3995
540	4698	3986
541	4707	3977
542	4715	3968
543	4724	3960
544	4733	3951
545	4742	3943
546	4751	3934
547	4760	3926
548	4767	3916
549	4776	3908
550	4785	3899
551	4794	3891
552	4802	3882
553	4811	3873
554	4818	3863
555	4826	3854
556	4834	3845
557	4844	3837
558	4854	3829
559	4862	3820
560	4872	3812
561	4882	3805
562	4892	3797
563	4901	3789
564	4910	3780
565	4919	3771
566	4928	3763
567	4936	3754
568	4944	3745
569	4952	3735
570	4960	3726
571	4968	3717
572	4980	3711
573	4989	3703
574	4998	3694
575	5007	3685
576	5015	3677
577	5023	3667
578	5032	3659
579	5041	3650
580	5049	3641
581	5059	3634
582	5070	3626
583	5079	3618
584	5088	3609
585	5097	3601
586	5106	3592
587	5115	3584
588	5124	3575
589	5135	3568
590	5144	3560
591	5152	3551
592	5160	3542
593	5169	3533
594	5179	3525
595	5188	3517
596	5197	3508
597	5206	3499
598	5216	3492
599	5226	3484
600	5235	3475
601	5245	3467
602	5253	3458
603	5264	3451
604	5272	3442
605	5281	3434
606	5291	3425
607	5299	3417
608	5308	3408
609	5318	3400
610	5328	3392
611	5336	3383
612	5344	3374
613	5353	3365
614	5363	3357
615	5373	3349
616	5382	3341
617	5391	3332
618	5402	3325
619	5413	3317
620	5422	3309
621	5431	3300
622	5441	3293
623	5451	3285
624	5463	3278
625	5473	3269
626	5483	3262
627	5494	3254
628	5503	3246
629	5511	3236
630	5515	3225
631	5523	3216
632	5533	3208
633	5542	3199
634	5550	3190
635	5560	3182
636	5568	3173
637	5577	3164
638	5588	3157
639	5597	3148
640	5605	3139
641	5613	3130
642	5623	3122
643	5634	3114
644	5644	3106
645	5654	3098
646	5664	3090
647	5672	3081
648	5682	3073
649	5692	3064
650	5700	3056
651	5710	3048
652	5719	3039
653	5728	3030
654	5737	3022
655	5746	3013
656	5755	3004
657	5763	2995
658	5773	2987
659	5782	2978
660	5790	2969
661	5799	2961
662	5808	2952
663	5816	2943
664	5826	2935
665	5835	2926
666	5844	2918
667	5853	2909
668	5861	2900
669	5870	2891
670	5878	2882
671	5888	2873
672	5897	2865
673	5905	2856
674	5914	2847
675	5925	2839
676	5933	2831
677	5944	2823
678	5952	2814
679	5961	2805
680	5971	2797
681	5980	2788
682	5989	2779
683	5997	2770
684	6007	2762
685	6016	2754
686	6025	2745
687	6035	2736
688	6044	2728
689	6053	2719
690	6062	2711
691	6071	2702
692	6081	2694
693	6090	2685
694	6098	2676
695	6108	2668
696	6117	2659
697	6126	2650
698	6135	2641
699	6144	2633
700	6152	2624
701	6160	2614
702	6168	2605
703	6176	2597
704	6185	2588
705	6195	2579
706	6204	2571
707	6213	2562
708	6221	2553
709	6229	2544
710	6237	2535
711	6246	2526
712	6254	2517
713	6264	2509
714	6274	2500
715	6283	2492
716	6292	2483
717	6301	2475
718	6310	2466
719	6319	2457
720	6327	2448
721	6337	2440
722	6344	2430
723	6353	2422
724	6361	2413
725	6370	2404
726	6380	2395
727	6389	2387
728	6398	2378
729	6407	2369
730	6416	2361
731	6427	2353
732	6435	2344
733	6443	2335
734	6453	2326
735	6461	2317
736	6469	2308
737	6480	2300
738	6490	2292
739	6500	2283
740	6502	2272
741	6512	2264
742	6520	2255
743	6530	2246
744	6538	2238
745	6546	2229
746	6555	2220
747	6563	2211
748	6571	2202
749	6581	2193
750	6590	2185
751	6600	2176
752	6608	2167
753	6616	2158
754	6626	2150
755	6635	2141
