,word,previous_word,next_word,artist,song_type,song,aae_feature,time,social_group
4511,for,love , you,rollingstones,original,little_by_little,post-vocalic r,1960s,nonAA_nonUS
29091,and,baby , I,philipsayce,cover,give_me_time,post-consonantal d,2010s,nonAA_US
4208,I,yes , never,fleetwoodmac,original,merry_go_round,ai monophthongization,1960s,nonAA_nonUS
24342,time,s , to,danpatlansky,original,snake_oil_city,ai monophthongization,2010s,nonAA_nonUS
4678,don't,, say,rollingstones,original,the_spider_and_the_fly,post-consonantal t,1960s,nonAA_nonUS
13385,my,lost , money,ericclapton,cover,hard_times,ai monophthongization,1980s,nonAA_nonUS
8501,before,honey , I,paulbutterfield,cover,driftin_and_driftin,post-vocalic r,1960s,nonAA_US
4974,walking ,,,savoybrown,cover,walking_by_myself,ing ultimas,1960s,nonAA_nonUS
18480,find,exhibition , out,jjcale,original,after_midnight,post-consonantal d,1980s,nonAA_US
8120,better,you , need,janisjoplin,original,kozmic_blues,post-vocalic r,1960s,nonAA_US
13736,you're,shape , in,ericclapton,original,the_shape_youre_in,post-vocalic r,1980s,nonAA_nonUS
25417,around ,,,joanneshawtaylor,cover,stop_messin_around,post-consonantal d,2010s,nonAA_nonUS
9356,night,whole , long,stevemiller,original,steppin_stone,ai monophthongization,1960s,nonAA_US
16698,can't,I , hear,thebluesband,original,find_yourself_another_fool,post-consonantal t,1980s,nonAA_nonUS
4770,downchild,a , baby,savoybrown,cover,mr_downchild,ai monophthongization,1960s,nonAA_nonUS
10806,and,, I,johnleehooker,original,boogie_chillen,post-consonantal d,1980s,AA
7609,I ,,,janisjoplin,cover,piece_of_my_heart,ai monophthongization,1960s,nonAA_US
29042,I,mine ,'m,philipsayce,cover,give_me_time,ai monophthongization,2010s,nonAA_US
26749,more ,,,allyvenable,cover,backwater_blues,post-vocalic r,2010s,nonAA_US
10649,right,me , to,johnleehooker,cover,it_serves_me_right,ai monophthongization,1980s,AA
22693,I,and ,'m,shemekiacopeland,cover,cant_let_go,ai monophthongization,2010s,AA
10984,I,when , saw,kokotaylor,cover,id_rather_go_blind,ai monophthongization,1980s,AA
12481,around,feeling , in,lutherallison,original,walking_papers,post-consonantal d,1980s,AA
16133,you're,fly , my,thebluesband,cover,talk_to_me_baby,post-vocalic r,1980s,nonAA_nonUS
9369,sleeping,s , through,stevemiller,original,steppin_stone,ing ultimas,1960s,nonAA_US
6187,I,and ,'m,allmanbrothers,cover,hoochie_coochie_man,ai monophthongization,1960s,nonAA_US
25482,don't,cry , you,joanneshawtaylor,cover,summertime,post-consonantal t,2010s,nonAA_nonUS
4569,morning ,,,rollingstones,original,midnight_rambler,ing ultimas,1960s,nonAA_nonUS
6662,dying ,,,allmanbrothers,original,whipping_post,ai monophthongization,1960s,nonAA_US
28676,aching ,,,mattschofield,original,what_i_wanna_hear,ing ultimas,2010s,nonAA_US
29415,ain't,I , got,philipsayce,original,on_the_road_again,post-consonantal t,2010s,nonAA_US
16987,your,and , pretty,bonnieraitt,cover,green_lights,post-vocalic r,1980s,nonAA_US
3522,I,but , don,cream,cover,sitting_on_top_of_the_world,ai monophthongization,1960s,nonAA_nonUS
16699,hear,t , you,thebluesband,original,find_yourself_another_fool,post-vocalic r,1980s,nonAA_nonUS
22517,I,,'m,shemekiacopeland,cover,cant_let_go,ai monophthongization,2010s,AA
24048,baptist,a , preacher,danpatlansky,cover,preachin_blues,post-consonantal t,2010s,nonAA_nonUS
13747,trying,not , to,ericclapton,original,the_shape_youre_in,ing ultimas,1980s,nonAA_nonUS
1999,her,shot , down,jimihendrix,cover,hey_joe,post-vocalic r,1960s,AA
29245,bitter,so , monday,philipsayce,original,bitter_monday,post-vocalic r,2010s,nonAA_US
14319,her,change , for,jeffhealey,original,my_little_girl,post-vocalic r,1980s,nonAA_nonUS
9279,I,, remember,stevemiller,original,junior_saw_it_happen,ai monophthongization,1960s,nonAA_US
5112,I,when , reach,savoybrown,original,a_little_more_wine,ai monophthongization,1960s,nonAA_nonUS
15133,found ,,,johnmayall,original,a_big_man,post-consonantal d,1980s,nonAA_nonUS
11885,fight,to , in,lutherallison,cover,freedom,ai monophthongization,1980s,AA
11764,and,dubbie) , crying,kokotaylor,original,jump_for_joy,post-consonantal d,1980s,AA
24572,buy,gonna , me,davyknowles,cover,outside_woman_blues,ai monophthongization,2010s,nonAA_nonUS
2494,Lord,, knows,jimihendrix,original,voodoo_child,post-consonantal d,1960s,AA
16684,find,, yourself,thebluesband,original,find_yourself_another_fool,ai monophthongization,1980s,nonAA_nonUS
10448,your,on , floor,johnleehooker,cover,crawlin_kingsnake,post-vocalic r,1980s,AA
28413,I,baby , want,mattschofield,original,dont_know_what_id_do,ai monophthongization,2010s,nonAA_US
3693,are,seas , dried,cream,original,sunshine_of_your_love,post-vocalic r,1960s,nonAA_nonUS
13828,my,found , old,jeffhealey,cover,blue_jean_blues,ai monophthongization,1980s,nonAA_nonUS
21499,I,, believe,kingfish,cover,hard_times,ai monophthongization,2010s,AA
13528,ever,,,ericclapton,original,lay_down_sally,post-vocalic r,1980s,nonAA_nonUS
15086,ever,gonna , fool,johnmayall,cover,the_last_time,post-vocalic r,1980s,nonAA_nonUS
15421,wife,his , two,rorygallagher,cover,dont_start_me_talking,ai monophthongization,1980s,nonAA_nonUS
26696,rains,it , five,allyvenable,cover,backwater_blues,third person singular,2010s,nonAA_US
24086,she's,, not,danpatlansky,cover,you_upset_me_baby,zero copula,2010s,nonAA_nonUS
15953,fly,I , off,rorygallagher,original,off_the_handle,ai monophthongization,1980s,nonAA_nonUS
24656,your,with , women,davyknowles,cover,outside_woman_blues,post-vocalic r,2010s,nonAA_nonUS
16089,you're,thing , sitting,thebluesband,cover,diddy_wah_diddy,post-vocalic r,1980s,nonAA_nonUS
22125,waiting,me , for,kirkfletcher,cover,found_love,ing ultimas,2010s,AA
11232,you're,if , young,kokotaylor,cover,let_the_good_times_roll,zero copula,1980s,AA
23966,don't,she , believe,danpatlansky,cover,bright_lights_big_city,post-consonantal t,2010s,nonAA_nonUS
16948,bright ,,,bonnieraitt,cover,green_lights,ai monophthongization,1980s,nonAA_US
16400,I,bad ,'ve,thebluesband,cover,twenty_nine_ways,ai monophthongization,1980s,nonAA_nonUS
29563,your,hold , head,samanthafish,cover,crow_jane,post-vocalic r,2010s,nonAA_US
17368,don't,it , break,bonnieraitt,original,give_it_up_or_let_me_go,post-consonantal t,1980s,nonAA_US
9901,loved,have , you,albertcollins,cover,snatchin_it_back,post-consonantal d,1980s,AA
2585,your,know , man,muddywaters,cover,baby_please_dont_go,post-vocalic r,1960s,AA
11149,locked,landlord , all,kokotaylor,cover,let_the_good_times_roll,post-consonantal t,1980s,AA
15589,heart,unintelligible) , and,rorygallagher,cover,tore_down,post-vocalic r,1980s,nonAA_nonUS
10140,I,and , paid,albertcollins,original,master_charge,ai monophthongization,1980s,AA
29495,I,but , ain,philipsayce,original,on_the_road_again,ai monophthongization,2010s,nonAA_US
14339,I,that ,'ve,jeffhealey,original,my_little_girl,ai monophthongization,1980s,nonAA_nonUS
24688,best,, girl,davyknowles,cover,what_in_the_world,post-consonantal t,2010s,nonAA_nonUS
20062,your,for , mistake,stevierayvaughan,original,dirty_pool,post-vocalic r,1980s,nonAA_US
4228,I,, knew,fleetwoodmac,original,merry_go_round,ai monophthongization,1960s,nonAA_nonUS
17062,darling,, I,bonnieraitt,cover,love_me_like_a_man,ing ultimas,1980s,nonAA_US
24931,I,learned , know,davyknowles,original,aint_much_of_nothing,ai monophthongization,2010s,nonAA_nonUS
4428,I,, am,rollingstones,cover,little_red_rooster,ai monophthongization,1960s,nonAA_nonUS
10994,rather,d , go,kokotaylor,cover,id_rather_go_blind,post-vocalic r,1980s,AA
12617,leaving,m , you,robertcray,cover,dont_touch_me,ing ultimas,1980s,AA
7109,mine ,,,cannedheat,cover,going_up_to_the_country,ai monophthongization,1960s,nonAA_US
8218,everywhere ,,,janisjoplin,original,women_is_losers,post-vocalic r,1960s,nonAA_US
18654,more,the , you,jjcale,original,ride_me_high,post-vocalic r,1980s,nonAA_US
2750,Lord ,,,muddywaters,cover,rollin_stone,post-vocalic r,1960s,AA
6625,sometimes,, I,allmanbrothers,original,whipping_post,ai monophthongization,1960s,nonAA_US
2166,for,waiting , that,jimihendrix,original,hear_my_train_a_comin,post-vocalic r,1960s,AA
1372,alright ,,,freddieking,cover,big_legged_woman,ai monophthongization,1960s,AA
23201,you're,when , married,shemekiacopeland,original,married_to_the_blues,zero copula,2010s,AA
300,ground,the , was,albertking,original,ive_made_nights_by_myself,post-consonantal d,1960s,AA
23664,I,, demand,daniwilde,original,bring_your_love_home,ai monophthongization,2010s,nonAA_nonUS
3958,like,me , you,fleetwoodmac,cover,no_place_to_go,ai monophthongization,1960s,nonAA_nonUS
18006,ain't,, that,fabulousthunderbirds,original,tuff_enough,auxiliary verb,1980s,nonAA_US
5846,and,, let,tenyearsafter,original,rock_your_mama,post-consonantal d,1960s,nonAA_nonUS
24032,and,liquor , your,danpatlansky,cover,preachin_blues,post-consonantal d,2010s,nonAA_nonUS
2782,he's,enough , a,muddywaters,cover,rollin_stone,zero copula,1960s,AA
11698,or,big , small,kokotaylor,original,jump_for_joy,post-vocalic r,1980s,AA
8516,just,, don,paulbutterfield,cover,driftin_and_driftin,post-consonantal t,1960s,nonAA_US
28301,my,be , friend,mattschofield,cover,wrapped_up_in_love_again,ai monophthongization,2010s,nonAA_US
18500,we're,midnight , gonna,jjcale,original,after_midnight,post-vocalic r,1980s,nonAA_US
9325,wouldn't,mind , take,stevemiller,original,junior_saw_it_happen,post-consonantal t,1960s,nonAA_US
17550,five,, for,fabulousthunderbirds,cover,marked_deck,ai monophthongization,1980s,nonAA_US
25008,is,all , as,davyknowles,original,falling_apart,zero copula,2010s,nonAA_nonUS
22219,sometimes,, I,kirkfletcher,original,gotta_right,ai monophthongization,2010s,AA
13373,better,knows , than,ericclapton,cover,hard_times,post-vocalic r,1980s,nonAA_nonUS
28334,calling,to , me,mattschofield,cover,wrapped_up_in_love_again,ing ultimas,2010s,nonAA_US
14466,hard,a , hard,jeffhealey,original,river_of_no_return,post-consonantal d,1980s,nonAA_nonUS
19849,killing,, for,stevierayvaughan,cover,tin_pan_alley,ing ultimas,1980s,nonAA_US
28021,around,hearts , this,joebonamassa,original,royal_tea,post-consonantal d,2010s,nonAA_US
22903,right,sin , now,shemekiacopeland,cover,i_feel_a_sin_coming_on,ai monophthongization,2010s,AA
25642,where,, does,joanneshawtaylor,original,dyin_to_know,post-vocalic r,2010s,nonAA_nonUS
210,world ,,,albertking,cover,ill_play_the_blues_for_you,post-consonantal d,1960s,AA
9497,find ,,,albertcollins,cover,a_good_fool_is_hard_to_find,post-consonantal d,1980s,AA
17855,bright ,,,fabulousthunderbirds,original,rock_with_me,ai monophthongization,1980s,nonAA_US
7972,can't,just , it,janisjoplin,original,i_need_a_man_to_love,post-consonantal t,1960s,nonAA_US
13616,your,see , face,ericclapton,original,old_love,post-vocalic r,1980s,nonAA_nonUS
10996,blind ,,,kokotaylor,cover,id_rather_go_blind,ai monophthongization,1980s,AA
16214,I,, can,thebluesband,cover,talk_to_me_baby,ai monophthongization,1980s,nonAA_nonUS
2220,my,hear , train,jimihendrix,original,hear_my_train_a_comin,ai monophthongization,1960s,AA
20892,eyeing,you , me,garyclarkjr,cover,shotgun_man,ing ultimas,2010s,AA
23975,I,word , say,danpatlansky,cover,bright_lights_big_city,ai monophthongization,2010s,nonAA_nonUS
11526,everything,everything , gonna,kokotaylor,original,im_a_woman,ing ultimas,1980s,AA
24518,ground ,,,davyknowles,cover,aint_no_grave,post-consonantal d,2010s,nonAA_nonUS
18697,higher,, higher,jjcale,original,ride_me_high,post-vocalic r,1980s,nonAA_US
3312,tired,m , of,cream,cover,im_so_glad,post-consonantal d,1960s,nonAA_nonUS
21864,calls,she , me,kingfish,original,she_calls_me_kingfish,third person singular,2010s,AA
2351,I,, have,jimihendrix,original,red_house,ai monophthongization,1960s,AA
7940,try,and , to,janisjoplin,original,i_need_a_man_to_love,ai monophthongization,1960s,nonAA_US
20151,she,mean , my,stevierayvaughan,original,pride_and_joy,third person singular,1980s,nonAA_US
631,I,know ,'ve,bbking,cover,everyday_i_have_the_blues,ai monophthongization,1960s,AA
27702,kicking,re , my,joebonamassa,original,high_class_girl,ing ultimas,2010s,nonAA_US
7051,water,the , taste,cannedheat,cover,going_up_to_the_country,post-vocalic r,1960s,nonAA_US
25435,around ,,,joanneshawtaylor,cover,stop_messin_around,post-consonantal d,2010s,nonAA_nonUS
22377,I,well , wish,kirkfletcher,original,the_answer,ai monophthongization,2010s,AA
21455,my,for , woman,kingfish,cover,hard_times,ai monophthongization,2010s,AA
29065,just,I , love,philipsayce,cover,give_me_time,post-consonantal t,2010s,nonAA_US
24155,I,here , am,danpatlansky,original,big_things_going_down,ai monophthongization,2010s,nonAA_nonUS
4042,I,and , don,fleetwoodmac,cover,sun_is_shining,ai monophthongization,1960s,nonAA_nonUS
9127,your,down , clothes,stevemiller,cover,mercury_blues,post-vocalic r,1960s,nonAA_US
27508,left,nothing , to,joebonamassa,cover,twenty_four_hour_blues,post-consonantal t,2010s,nonAA_US
8661,my,all , money,paulbutterfield,cover,look_over_yonders_wall,ai monophthongization,1960s,nonAA_US
10374,crawling,a , kingsnake,johnleehooker,cover,crawlin_kingsnake,ing ultimas,1980s,AA
2876,my,got , brand,muddywaters,original,i_got_my_brand_on_you,ai monophthongization,1960s,AA
3160,tiger,a , in,muddywaters,original,tiger_in_your_tank,post-vocalic r,1960s,AA
18835,I,, ain,robbenford,cover,aint_got_nothing_but_the_blues,ai monophthongization,1980s,nonAA_US
19499,my,, my,robbenford,original,start_it_up,ai monophthongization,1980s,nonAA_US
16165,talking,feeling , to,thebluesband,cover,talk_to_me_baby,ing ultimas,1980s,nonAA_nonUS
8172,you're,someday , gonna,janisjoplin,original,kozmic_blues,post-vocalic r,1960s,nonAA_US
11415,won't,stars , shine,kokotaylor,original,come_to_mama,post-consonantal t,1980s,AA
692,I,when ,'m,bbking,cover,how_blue_can_you_get,ai monophthongization,1960s,AA
13650,telling,was , me,ericclapton,original,the_shape_youre_in,ing ultimas,1980s,nonAA_nonUS
8346,wasn't,it , for,paulbutterfield,cover,born_under_a_bad_sign,post-consonantal t,1960s,nonAA_US
9852,my,before , time,albertcollins,cover,snatchin_it_back,ai monophthongization,1980s,AA
1172,goes,she , away,freddieking,cover,aint_no_sunshine,third person singular,1960s,AA
9598,last,home , night,albertcollins,cover,i_aint_drunk,post-consonantal t,1980s,AA
26953,realized,I , I,allyvenable,cover,woke_up_this_morning,post-consonantal d,2010s,nonAA_US
4111,messing,re , around,fleetwoodmac,original,black_magic_woman,ing ultimas,1960s,nonAA_nonUS
3426,I,,'m,cream,cover,im_so_glad,ai monophthongization,1960s,nonAA_nonUS
17453,or,yes , no,bonnieraitt,original,willya_wontcha,post-vocalic r,1980s,nonAA_US
1224,I,, love,freddieking,cover,big_legged_woman,ai monophthongization,1960s,AA
13563,want,,,ericclapton,original,lay_down_sally,post-consonantal t,1980s,nonAA_nonUS
14747,I,and , ain,johnmayall,cover,mama_talk_to_your_daughter,ai monophthongization,1980s,nonAA_nonUS
18588,might,, go,jjcale,original,call_me_the_breeze,ai monophthongization,1980s,nonAA_US
1832,my ,,,freddieking,original,im_tore_down,ai monophthongization,1960s,AA
10595,I,, didn,johnleehooker,cover,i_didnt_know,ai monophthongization,1980s,AA
12126,alright ,,,lutherallison,cover,sweet_home_chicago,ai monophthongization,1980s,AA
24345,highway ,,,danpatlansky,original,snake_oil_city,ai monophthongization,2010s,nonAA_nonUS
4819,I,know ,'ve,savoybrown,cover,mr_downchild,ai monophthongization,1960s,nonAA_nonUS
15949,your,dirty , luck,rorygallagher,original,off_the_handle,post-vocalic r,1980s,nonAA_nonUS
11491,fear ,,,kokotaylor,original,come_to_mama,post-vocalic r,1980s,AA
8554,over,look , yonder,paulbutterfield,cover,look_over_yonders_wall,post-vocalic r,1960s,nonAA_US
24197,floor ,,,danpatlansky,original,insufficient_man,post-vocalic r,2010s,nonAA_nonUS
20450,just,only , begun,ericgales,cover,me_and_my_guitar,post-consonantal t,2010s,AA
19566,I,best ,'ve,robbenford,original,start_it_up,ai monophthongization,1980s,nonAA_US
2506,don't,please , go,muddywaters,cover,baby_please_dont_go,post-consonantal t,1960s,AA
28090,here,stranger , and,mattschofield,cover,stranger_blues,post-vocalic r,2010s,nonAA_US
22599,can't,I , let,shemekiacopeland,cover,cant_let_go,post-consonantal t,2010s,AA
15158,around ,,,johnmayall,original,john_lee_boogie,post-consonantal d,1980s,nonAA_nonUS
6970,there,,'s,cannedheat,cover,catfish_blues,post-vocalic r,1960s,nonAA_US
20129,and,pride , joy,stevierayvaughan,original,pride_and_joy,post-consonantal d,1980s,nonAA_US
54,goodbye ,,,albertking,cover,as_the_years_go_passing_by,ai monophthongization,1960s,AA
23206,my,in , pocket,shemekiacopeland,original,married_to_the_blues,ai monophthongization,2010s,AA
756,my,in , penthouse,bbking,cover,how_blue_can_you_get,ai monophthongization,1960s,AA
24080,I,,'ve,danpatlansky,cover,you_upset_me_baby,ai monophthongization,2010s,nonAA_nonUS
3724,smile ,,,cream,original,white_room,third person singular,1960s,nonAA_nonUS
7590,cry,I , at,janisjoplin,cover,piece_of_my_heart,ai monophthongization,1960s,nonAA_US
23567,I,little ,'m,daniwilde,cover,little_by_little,ai monophthongization,2010s,nonAA_nonUS
29274,star,morning , won,philipsayce,original,morning_star,post-vocalic r,2010s,nonAA_US
1968,I,,'m,jimihendrix,cover,hey_joe,ai monophthongization,1960s,AA
24374,hold,gonna , me,davyknowles,cover,aint_no_grave,post-consonantal d,2010s,nonAA_nonUS
15928,I,get ,'m,rorygallagher,original,keychain,ai monophthongization,1980s,nonAA_nonUS
28560,side ,,,mattschofield,original,siftin_through_ashes,ai monophthongization,2010s,nonAA_US
4798,downchild ,,,savoybrown,cover,mr_downchild,ai monophthongization,1960s,nonAA_nonUS
28827,and,things , go,philipsayce,cover,backwater_blues,post-consonantal d,2010s,nonAA_US
14015,morning,the , and,jeffhealey,cover,tore_down,ing ultimas,1980s,nonAA_nonUS
12171,here,sitting , talk,lutherallison,original,fight,post-vocalic r,1980s,AA
18348,my,got , mojo,jjcale,cover,got_my_mojo_working,ai monophthongization,1980s,nonAA_US
28007,time ,,,joebonamassa,original,royal_tea,ai monophthongization,2010s,nonAA_US
18058,ain't,, that,fabulousthunderbirds,original,tuff_enough,post-consonantal t,1980s,nonAA_US
8114,fire,a , inside,janisjoplin,original,kozmic_blues,ai monophthongization,1960s,nonAA_US
26571,never,you , will,tinylegstim,original,stepping_up,post-vocalic r,2010s,nonAA_nonUS
4072,shining,was , bright,fleetwoodmac,cover,sun_is_shining,ai monophthongization,1960s,nonAA_nonUS
17012,like,me , a,bonnieraitt,cover,love_me_like_a_man,ai monophthongization,1980s,nonAA_US
26742,can't,I , live,allyvenable,cover,backwater_blues,post-consonantal t,2010s,nonAA_US
6678,and,, I,allmanbrothers,original,whipping_post,post-consonantal d,1960s,nonAA_US
16581,time,the , better,thebluesband,original,find_yourself_another_fool,ai monophthongization,1980s,nonAA_nonUS
8953,told,baby , me,stevemiller,cover,fanny_mae,post-consonantal d,1960s,nonAA_US
4287,turn,face , cherry,fleetwoodmac,original,stop_messing_around,third person singular,1960s,nonAA_nonUS
922,your,be , boy,bbking,original,please_love_me,post-vocalic r,1960s,AA
29225,second,no , chances,philipsayce,original,bitter_monday,post-consonantal d,2010s,nonAA_US
12600,I,,'ll,robertcray,cover,dont_be_afraid_of_the_dark,ai monophthongization,1980s,AA
13513,light ,,,ericclapton,original,lay_down_sally,ai monophthongization,1980s,nonAA_nonUS
29096,don't,I , want,philipsayce,cover,give_me_time,post-consonantal t,2010s,nonAA_US
29123,mine ,,,philipsayce,cover,give_me_time,ai monophthongization,2010s,nonAA_US
12767,cooking,nobody , but,robertcray,cover,too_many_cooks,ing ultimas,1980s,AA
15362,for,off , pluto,rorygallagher,cover,all_around_man,post-vocalic r,1980s,nonAA_nonUS
21334,I,all , ever,kingfish,cover,empty_promises,ai monophthongization,2010s,AA
19433,around ,,,robbenford,original,north_carolina,post-consonantal d,1980s,nonAA_US
12706,I,when , grab,robertcray,cover,dont_touch_me,ai monophthongization,1980s,AA
7720,your,, daddy,janisjoplin,cover,summertime,post-vocalic r,1960s,nonAA_US
4311,want,t , you,rollingstones,cover,i_just_want_to_make_love_to_you,post-consonantal t,1960s,nonAA_nonUS
30058,skating,dry , on,samanthafish,original,sucker_born,ing ultimas,2010s,nonAA_US
2148,killing,the , floor,jimihendrix,cover,killing_floor,ing ultimas,1960s,AA
12807,are,cooks , gonna,robertcray,cover,too_many_cooks,post-vocalic r,1980s,AA
6181,I,, got,allmanbrothers,cover,hoochie_coochie_man,ai monophthongization,1960s,nonAA_US
27362,her,of , and,joebonamassa,cover,i_want_to_shout_about_it,post-vocalic r,2010s,nonAA_US
6277,your,, sister,allmanbrothers,cover,statesboro_blues,post-vocalic r,1960s,nonAA_US
21122,my,make , one,garyclarkjr,original,travis_county,ai monophthongization,2010s,AA
15169,your,tell , friend,johnmayall,original,john_lee_boogie,post-vocalic r,1980s,nonAA_nonUS
15948,and,down , dirty,rorygallagher,original,off_the_handle,post-consonantal d,1980s,nonAA_nonUS
6336,betting ,,,allmanbrothers,cover,trouble_no_more,ing ultimas,1960s,nonAA_US
20429,and,me , my,ericgales,cover,me_and_my_guitar,post-consonantal d,2010s,AA
16502,I,everything ,'ll,thebluesband,original,come_on_in,ai monophthongization,1980s,nonAA_nonUS
7988,never,I , found,janisjoplin,original,kozmic_blues,post-vocalic r,1960s,nonAA_US
29208,bitter,so , monday,philipsayce,original,bitter_monday,post-vocalic r,2010s,nonAA_US
23605,child ,,,daniwilde,cover,little_by_little,ai monophthongization,2010s,nonAA_nonUS
13609,old,, love,ericclapton,original,old_love,post-consonantal d,1980s,nonAA_nonUS
3151,tiger,a , in,muddywaters,original,tiger_in_your_tank,ai monophthongization,1960s,AA
6991,ever ,,,cannedheat,cover,catfish_blues,post-vocalic r,1960s,nonAA_US
21739,before,, I,kingfish,original,before_im_old,post-vocalic r,2010s,AA
7670,my,of , heart,janisjoplin,cover,piece_of_my_heart,ai monophthongization,1960s,nonAA_US
7941,try,and , to,janisjoplin,original,i_need_a_man_to_love,ai monophthongization,1960s,nonAA_US
3912,ain't,time , long,fleetwoodmac,cover,dust_my_broom,post-consonantal t,1960s,nonAA_nonUS
11528,alright ,,,kokotaylor,original,im_a_woman,ai monophthongization,1980s,AA
223,you're,, a,albertking,cover,ill_play_the_blues_for_you,zero copula,1960s,AA
24494,ain't,pair , no,davyknowles,cover,aint_no_grave,auxiliary verb,2010s,nonAA_nonUS
12336,fight ,,,lutherallison,original,fight,ai monophthongization,1980s,AA
8927,amount,no , of,paulbutterfield,original,no_amount_of_loving,post-consonantal t,1960s,nonAA_US
23685,and,younger , she,daniwilde,original,bring_your_love_home,post-consonantal d,2010s,nonAA_nonUS
27299,I,out , played,allyvenable,original,played_the_game,ai monophthongization,2010s,nonAA_US
25101,my,haunting , dreams,davyknowles,original,falling_apart,ai monophthongization,2010s,nonAA_nonUS
11615,I,, know,kokotaylor,original,im_a_woman,ai monophthongization,1980s,AA
14263,my,s) , darling,jeffhealey,original,my_little_girl,ai monophthongization,1980s,nonAA_nonUS
14013,I,old , love,jeffhealey,cover,tore_down,ai monophthongization,1980s,nonAA_nonUS
12191,trying ,,,lutherallison,original,fight,ing ultimas,1980s,AA
16538,another,yourself , clown,thebluesband,original,find_yourself_another_fool,post-vocalic r,1980s,nonAA_nonUS
26185,I,well ,'m,tinylegstim,cover,ramblin_on_my_mind,ai monophthongization,2010s,nonAA_nonUS
15510,I,well ,'m,rorygallagher,cover,tore_down,ai monophthongization,1980s,nonAA_nonUS
1023,your,changed , mind,bbking,original,you_done_lost_your_good_thing_now,post-vocalic r,1960s,AA
16905,time,your , tuned,bonnieraitt,cover,green_lights,ai monophthongization,1980s,nonAA_US
13339,Lord,, those,ericclapton,cover,hard_times,post-consonantal d,1980s,nonAA_nonUS
14205,her,make , cry,jeffhealey,original,dont_let_your_chance_go_by,post-vocalic r,1980s,nonAA_nonUS
24876,I,, ain,davyknowles,original,aint_much_of_nothing,ai monophthongization,2010s,nonAA_nonUS
460,I,what , do,albertking,original,oh_pretty_woman,ai monophthongization,1960s,AA
5,nothing,is , I,albertking,cover,as_the_years_go_passing_by,ing ultimas,1960s,AA
14975,time ,,,johnmayall,cover,the_last_time,ai monophthongization,1980s,nonAA_nonUS
9739,thinking ,,,albertcollins,cover,i_aint_drunk,ing ultimas,1980s,AA
17293,can't,just , hide,bonnieraitt,original,give_it_up_or_let_me_go,post-consonantal t,1980s,nonAA_US
10766,talking,was , about,johnleehooker,original,boogie_chillen,ing ultimas,1980s,AA
118,just ,,,albertking,cover,crosscut_saw,post-consonantal t,1960s,AA
22003,there ,,,kirkfletcher,cover,congo_square,post-vocalic r,2010s,AA
25449,living,the , is,joanneshawtaylor,cover,summertime,ing ultimas,2010s,nonAA_nonUS
2906,I,whenever , kiss,muddywaters,original,i_got_my_brand_on_you,ai monophthongization,1960s,AA
26323,I,, tasted,tinylegstim,original,cant_win_them_all,ai monophthongization,2010s,nonAA_nonUS
9204,I,,'ve,stevemiller,original,going_to_mexico,ai monophthongization,1960s,nonAA_US
21989,going,something , on,kirkfletcher,cover,congo_square,ing ultimas,2010s,AA
8672,walking,my , cane,paulbutterfield,cover,look_over_yonders_wall,ing ultimas,1960s,nonAA_US
24902,ain't,, much,davyknowles,original,aint_much_of_nothing,auxiliary verb,2010s,nonAA_nonUS
15146,leader,a ,,johnmayall,original,a_big_man,post-vocalic r,1980s,nonAA_nonUS
29189,mind ,,,philipsayce,original,bitter_monday,post-consonantal d,2010s,nonAA_US
5478,eyes,, that,savoybrown,original,im_tired,ai monophthongization,1960s,nonAA_nonUS
11495,number ,,,kokotaylor,original,come_to_mama,post-vocalic r,1980s,AA
4159,I,, want,fleetwoodmac,original,black_magic_woman,ai monophthongization,1960s,nonAA_nonUS
19675,flooding,s , down,stevierayvaughan,cover,texas_flood,ing ultimas,1980s,nonAA_US
16270,door ,,,thebluesband,cover,twenty_nine_ways,post-vocalic r,1980s,nonAA_nonUS
17585,told,you , Jesse,fabulousthunderbirds,cover,marked_deck,post-consonantal d,1980s,nonAA_US
28851,ain't,blues , nothing,philipsayce,cover,blues_aint_nothing_but,post-consonantal t,2010s,nonAA_US
14989,around,fool , with,johnmayall,cover,the_last_time,post-consonantal d,1980s,nonAA_nonUS
22148,is,world , in,kirkfletcher,cover,found_love,zero copula,2010s,AA
28927,kinda,that , loving,philipsayce,cover,blues_aint_nothing_but,ai monophthongization,2010s,nonAA_US
23157,picture,a , by,shemekiacopeland,original,married_to_the_blues,post-vocalic r,2010s,AA
25678,ever,only , been,joanneshawtaylor,original,ive_been_loving_you_too_long,post-vocalic r,2010s,nonAA_nonUS
25679,ever,only , been,joanneshawtaylor,original,ive_been_loving_you_too_long,post-vocalic r,2010s,nonAA_nonUS
14419,I,well , never,jeffhealey,original,my_little_girl,ai monophthongization,1980s,nonAA_nonUS
6874,after,enough , me,cannedheat,cover,catfish_blues,post-vocalic r,1960s,nonAA_US
28310,and,bed , if,mattschofield,cover,wrapped_up_in_love_again,post-consonantal d,2010s,nonAA_US
15197,like,I , the,johnmayall,original,road_show,ai monophthongization,1980s,nonAA_nonUS
8089,better,any , baby,janisjoplin,original,kozmic_blues,post-vocalic r,1960s,nonAA_US
23574,your,all , love,daniwilde,cover,little_by_little,post-vocalic r,2010s,nonAA_nonUS
26577,ain't,still , got,tinylegstim,original,stepping_up,post-consonantal t,2010s,nonAA_nonUS
