,word,previous_word,next_word,artist,song_type,song,aae_feature,time,social_group
15777,I,something , should,rorygallagher,original,bought_and_sold,ai monophthongization,1980s,nonAA_nonUS
12575,hold,, on,robertcray,cover,dont_be_afraid_of_the_dark,post-consonantal d,1980s,AA
19727,leaving,m , you,stevierayvaughan,cover,texas_flood,ing ultimas,1980s,nonAA_US
19748,are,home , no,stevierayvaughan,cover,texas_flood,post-vocalic r,1980s,nonAA_US
13886,we're,roadhouse , gonna,jeffhealey,cover,road_house_blues,post-vocalic r,1980s,nonAA_nonUS
15156,I,,'m,johnmayall,original,john_lee_boogie,ai monophthongization,1980s,nonAA_nonUS
17433,and,touch , touch,bonnieraitt,original,love_letter,post-consonantal d,1980s,nonAA_US
19920,my,of , heart,stevierayvaughan,original,aint_gone_n_give_up_on_love,ai monophthongization,1980s,nonAA_US
16144,I,and ,'ll,thebluesband,cover,talk_to_me_baby,ai monophthongization,1980s,nonAA_nonUS
19635,white,was , as,stevierayvaughan,cover,mary_had_a_little_lamb,ai monophthongization,1980s,nonAA_US
29146,life ,,,philipsayce,original,bitter_monday,ai monophthongization,2010s,nonAA_US
29821,I,all ,'m,samanthafish,cover,whos_been_talking,ai monophthongization,2010s,nonAA_US
20331,won't,I , do,ericgales,cover,foxey_lady,post-consonantal t,2010s,AA
427,just,for , a,albertking,original,oh_pretty_woman,post-consonantal t,1960s,AA
14381,for,her , the,jeffhealey,original,my_little_girl,post-vocalic r,1980s,nonAA_nonUS
26776,more ,,,allyvenable,cover,backwater_blues,post-vocalic r,2010s,nonAA_US
1117,I,way , used,bbking,original,you_done_lost_your_good_thing_now,ai monophthongization,1960s,AA
22727,over ,,,shemekiacopeland,cover,cant_let_go,post-vocalic r,2010s,AA
2968,there,, ain,muddywaters,original,i_got_my_brand_on_you,post-vocalic r,1960s,AA
10767,talking,was , about,johnleehooker,original,boogie_chillen,ing ultimas,1980s,AA
13762,don't,I , love,ericclapton,original,the_shape_youre_in,post-consonantal t,1980s,nonAA_nonUS
4298,messing ,,,fleetwoodmac,original,stop_messing_around,ing ultimas,1960s,nonAA_nonUS
19898,ain't,love , gonna,stevierayvaughan,original,aint_gone_n_give_up_on_love,post-consonantal t,1980s,nonAA_US
15344,ain't,I , no,rorygallagher,cover,all_around_man,auxiliary verb,1980s,nonAA_nonUS
12221,there ,,,lutherallison,original,fight,post-vocalic r,1980s,AA
14353,I,and , wouldn,jeffhealey,original,my_little_girl,ai monophthongization,1980s,nonAA_nonUS
29543,her,see , fall,samanthafish,cover,crow_jane,post-vocalic r,2010s,nonAA_US
11133,you're,if , young,kokotaylor,cover,let_the_good_times_roll,post-vocalic r,1980s,AA
